sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Thread Group:HTTP Request,8421,5,4,7,1,6181,0.0,145.23222323784557,47.580234319757515
TOTAL,8421,5,4,7,1,6181,0.0,145.23222323784557,47.580234319757515
