sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Thread Group:HTTP Request,8421,5,1,6181,67.86058070914571,0.0,145.23222323784557,47.580234319757515,335.4776154850968
TOTAL,8421,5,1,6181,67.86058070914571,0.0,145.23222323784557,47.580234319757515,335.4776154850968
