sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Thread Group:HTTP Request,8421,5,1,6044,66.31555589143213,0.0,153.52220520673814,50.278939521348356,335.36278351739696
TOTAL,8421,5,1,6044,66.31555589143213,0.0,153.52220520673814,50.278939521348356,335.36278351739696
